title,year,synopsis
Dirty Lines,2022,"In 1980s Amsterdam, an enterprising college student stumbles into a new career at a phone sex line started by two wildly different brothers."
Return to Space,2022,Elon Musk and SpaceX engineers embark on a historic mission to return NASA astronauts to the International Space Station and revolutionize space travel.
The Ultimatum: Marry or Move On,2022,Get hitched or call it quits? Couples put their love to the test — while shacking up with other potential matches — in a provocative reality series.
Jimmy Savile: A British Horror Story,2022,TV star Jimmy Savile charmed a nation with his eccentricity and philanthropy. But sexual abuse allegations expose a shocking unseen side of his persona.
The Power of Silence,2017,"Living in exile during World War II, a master musician uses his art to condemn the war and the violent dictatorship ruling his country."
Tomorrow,2022,"Made half-human and half-spirit by accident, a young man is employed by a company of grim reapers in the underworld to carry out special missions."
Furioza,2022,"A policewoman makes her ex-boyfriend an offer he can&#39;t refuse: Either he infiltrates and informs on a gang of hooligans, or his brother goes to jail."
Ya veremos,2018,"Before undergoing high-risk eye surgery, 11-year-old Santi creates a wish list and asks to fulfill it with his divorced — and bickering — parents."
The Last Bus,2022,"After embarking on a life-changing field trip, a group of whip-smart students fight to save humanity from an army of ruthless drones."
Captain Nova,2021,A fighter pilot from a desolate future unexpectedly transforms into her younger self while traveling back in time on a mission to avert global disaster.
The Bubble,2022,Sneaking out. Hooking up. Melting down. The cast and crew of a blockbuster action franchise attempt to shoot a sequel while quarantining at a posh hotel.
Battle: Freestyle,2022,"Amalie is elated when her and Mikael&#39;s dance crew is selected to compete in Paris, but becomes distracted when she reunites with her estranged mother."
Pedro el escamoso,2001,"An uneducated but charming man who can talk his way into and out of anything falls in love at first sight with a pretty exec, and becomes her chauffeur."
Wild Abandon,2022,"In the haze of a midlife crisis, an architect begins living a double life as a punk while members of his family lead their own crisis-ridden lives."
Trust No One: The Hunt for the Crypto King,2022,"When the young founder of a collapsing cryptocurrency exchange dies unexpectedly, irate investors suspect there&#39;s more to his death than meets the eye."
All Hail,2022,"After failing to predict a destructive hailstorm, a famous meteorologist flees to his hometown and soon finds himself on a journey of self-discovery."
Thermae Romae Novae,2022,"A proud bath architect in ancient Rome starts randomly surfacing in present-day Japan, where he&#39;s inspired by the many bathing innovations he finds."
Transformers: BotBots,2022,"When the lights go out at the mall, the BotBots come out to play! Meet a fun-loving crew of everyday objects that morph into robots at closing time."
Love Like the Falling Petals,2022,An aspiring young photographer falls in love with a vibrant hairstylist. The future stretches before them — until a twist of fate changes everything.
800 Meters,2022,"In 2017, Spain suffered two terrorist attacks perpetrated by young members of its community. How could this happen? This incisive series investigates."
In Good Hands,2022,"Diagnosed with a terminal illness, a single mother encounters a suave bachelor as she grapples with the future of her headstrong six-year-old."
Windfall,2022,"A man breaks into a tech billionaire&#39;s empty vacation home, but things go sideways when the arrogant mogul and his wife arrive for a last-minute getaway."
Standing Up,2022,From juggling jobs to chasing viral fame: Making it in stand-up can be a messy business. But these four friends will risk it all to make the world laugh.
Human Resources,2022,"Lovebugs, Hormone Monsters and a parade of other creatures juggle romance, workplace drama and their human clients&#39; needs in this ""Big Mouth"" spinoff."
Cracow Monsters,2022,A young woman haunted by her past joins a mysterious professor and his group of gifted students who investigate paranormal activity — and fight demons.
Black Crab,2022,"To end an apocalyptic war and save her daughter, a reluctant soldier embarks on a desperate mission to cross a frozen sea carrying a top-secret cargo."
Soil,2021,"To revamp the family business, a young entrepreneur sets up a bold yet risky plan of importing soil from Morocco to bury his community’s deceased."
Rescued by Ruby,2022,"Chasing his dream to join an elite K-9 unit, a state trooper partners with a fellow underdog: clever but naughty shelter pup Ruby. Based on a true story."
Today We Fix the World,2022,"After workaholic Diego learns that he might not be the father of young Benito, the duo sets out on an emotional quest to find the boy&#39;s biological dad."
Solas,1999,"As her husband recuperates, a woman stays with her daughter, Maria, who left home years ago because of the way her father treated her mother."
The Method,2005,An unusual interview process for an executive job pits candidates against each other in a psychological battle in which no weapon is too manipulative.
The Adam Project,2022,"After accidentally crash-landing in 2022, time-traveling fighter pilot Adam Reed teams up with his 12-year-old self on a mission to save the future."
Taboo,2017,"Long thought to be dead, an adventurer returns to London to avenge his father&#39;s death — and finds himself up against the powerful East India Company."
"Love, Life & Everything in Between",2022,This pan-Arab anthology series tinged with dark humor explores love at large — and relationships up close.
Kotaro Lives Alone,2022,A lonely little boy moves into a ramshackle apartment building all on his own and makes friends with the broke manga artist who lives next door.
Byron Baes,2022,"Australian influencers flock to Byron Bay for its warm, beachy beauty and cool, creative vibe. Follow these friends as they negotiate life and love."
The Bombardment,2022,The fates of several Copenhagen residents collide when a WWII bombing mission accidentally targets a school full of children. Based on true events.
Autumn Girl,2021,"In 1960s Poland, performer Kalina Jędrusik is at the height of her popularity but must contend with a spurned official threatening to ruin her career."
Lies and Deceit,2020,"A literature teacher seeks justice against a surgeon she claims date raped her, while he vehemently denies her accounts of the encounter."
PIECES OF HER,2022,A woman pieces together her mother&#39;s dark past after a violent attack in their small town brings hidden threats and deadly secrets to light.
Meskina,2021,"Heartbroken, jobless and in her 30s, Leyla sets out to reinvent herself and search for happiness amid her family&#39;s attempts to recouple her."
Making Fun,2022,Grumpy expert maker Jimmy DiResta fields kids&#39; ideas for delightfully pointless inventions. Then — if he&#39;s in the mood — he and his pals build &#39;em.
The Invisible Thread,2022,A teenage son of two fathers makes a documentary about his parents but is surprised when a real-life plot twist occurs in his family.
The Weekend Away,2021,"When her best friend vanishes during a girls trip to Croatia, Beth races to figure out what happened. But each clue yields another unsettling deception."
Midnight at the Pera Palace,2022,"At a historic Istanbul hotel, a journalist is thrust into the past and must stop a plot that could change the fate of modern Turkey."
The Pirates: The Last Royal Treasure,2022,"A gutsy crew of Joseon pirates and bandits battle stormy waters, puzzling clues and militant rivals in search of royal gold lost at sea."
Against The Ice,2022,"Exploring Greenland&#39;s vast landscape for a lost map, two men must fight to survive. Based on the true story of Denmark&#39;s 1909 polar expedition."
Worst Roommate Ever,2022,Violent con artists. Stone-cold killers. These terrifying true stories unveil some of the worst cohabitation experiences one could ever imagine.
The Guardians of Justice,2022,"When their seemingly fearless leader self-destructs, a team of troubled superheroes must confront festering evil in the world — and in themselves."
My Wonderful Life,2022,An unhappily married woman fights to keep her multigenerational family together as she tries to stop an anonymous blackmailer from exposing her secret.
Memories of My Melancholy Whores,2011,"In this film based on the Gabriel García Márquez novella, a 90-year-old journalist gifts to himself a night with a teen virgin but falls in love instead."
Valentina&#39;s Wedding,2018,Valentina&#39;s seemingly idyllic life in the US is interrupted when planning a wedding means introducing her fiancé to her scandalous family in Mexico.
Everything&#39;s Gone Wrong!,2018,"When a young diplomat manages to get the Austrian government to return the Plume of Moctezuma to Mexico for an exhibition, his life quickly falls apart."
Vikings: Valhalla,2022,"In this sequel to ""Vikings,"" a hundred years have passed and a new generation of legendary heroes arises to forge its own destiny — and make history."
Restless,2022,"After going to extremes to cover up an accident, a corrupt cop&#39;s life spirals out of control when he starts receiving threats from a mysterious witness."
A Madea Homecoming,2022,Madea&#39;s back — hallelujer! And she&#39;s not putting up with any nonsense as family drama erupts at her great-grandson&#39;s college graduation celebration.
Juvenile Justice,2022,A tough judge balances her aversion to minor offenders with firm beliefs on justice and punishment as she tackles complex cases inside a juvenile court.
The Fame Game,2022,"When India’s most famous actress goes missing, the search for her chips away at the flawless facade of her life and family, revealing painful truths."
Back to 15,2022,"Unhappy with her life, 30-year-old Anita accidentally discovers a way to travel back to age 15. Can she rewrite her own history?"
Karma&#39;s World Music Videos,2022,Step into Karma&#39;s musical world as she rocks the mic — and her curls — for this fun and funky playlist packed with rhymes and the power of positivity!
UFO,2022,"When aspiring musician and student Deniz falls for a rough-hewn motorbike racer, tragedy and family opposition obstruct their path to love."
Race: Bubba Wallace,2022,"This docuseries follows Bubba Wallace, the only Black driver currently in NASCAR&#39;s Cup Series, as he uses his voice and talent to change the sport."
Cat Burglar,2022,"In this edgy, over-the-top, interactive trivia toon, answer correctly to help Rowdy the Cat evade Peanut the Security Pup to steal some prized paintings."
Don&#39;t Kill Me,2022,"After Mirta dies of a drug overdose with her lover, she resuscitates alone and discovers she&#39;s part of a violent world she never knew existed."
Thoroughbred,2016,Five thieves get away with $30 million that is too hot to handle and agree to let the money cool for five years. Then one makes a terrible mistake.
Compadres,2016,"After his girlfriend is kidnapped by a vengeful villain whose big score was ruined, a Mexican lawman teams up with an orphaned American teen hacker."
3 idiotas,2017,"Five years after graduating from engineering school, three wild pals learn that a friend who vanished on graduation eve is alive. But what&#39;s he up to?"
Parallel Mothers,2021,Two single mothers bond when they meet in a hospital room and give birth the same day. Their subsequent connection transforms both of their lives.
One of Us Is Lying,2022,"Detention brings together five disparate high schoolers, but a killing — and secrets — keep them together as a cat-and-mouse murder mystery unfolds."
Texas Chainsaw Massacre,2022,"In this sequel, influencers looking to breathe new life into a Texas ghost town encounter Leatherface, an infamous killer who wears a mask of human skin."
Downfall: The Case Against Boeing,2022,Investigators reveal how Boeing’s alleged priority of profit over safety could have contributed to two catastrophic crashes within months of each other.
The Cuphead Show!,2022,Follow the misadventures of the impulsive Cuphead and his easily swayed brother Mugman in this animated series based on the hit video game.
Heart Shot,2022,"In this short film, teenagers Nikki and Sam are in love and planning their future together — until Nikki&#39;s dangerous past returns to threaten everything."
Forgive Us Our Trespasses,2022,"Targeted by Nazis as they hunt down and murder people with disabilities, a boy with a limb difference makes a daring decision while running for his life."
