title,year,synopsis
Dirty Lines,2022,"In 1980s Amsterdam, an enterprising college student stumbles into a new career at a phone sex line started by two wildly different brothers."
Return to Space,2022,Elon Musk and SpaceX engineers embark on a historic mission to return NASA astronauts to the International Space Station and revolutionize space travel.
The Ultimatum: Marry or Move On,2022,Get hitched or call it quits? Couples put their love to the test — while shacking up with other potential matches — in a provocative reality series.
Jimmy Savile: A British Horror Story,2022,TV star Jimmy Savile charmed a nation with his eccentricity and philanthropy. But sexual abuse allegations expose a shocking unseen side of his persona.
The Power of Silence,2017,"Living in exile during World War II, a master musician uses his art to condemn the war and the violent dictatorship ruling his country."
Tomorrow,2022,"Made half-human and half-spirit by accident, a young man is employed by a company of grim reapers in the underworld to carry out special missions."
Furioza,2022,"A policewoman makes her ex-boyfriend an offer he can&#39;t refuse: Either he infiltrates and informs on a gang of hooligans, or his brother goes to jail."
Ya veremos,2018,"Before undergoing high-risk eye surgery, 11-year-old Santi creates a wish list and asks to fulfill it with his divorced — and bickering — parents."
The Last Bus,2022,"After embarking on a life-changing field trip, a group of whip-smart students fight to save humanity from an army of ruthless drones."
Captain Nova,2021,A fighter pilot from a desolate future unexpectedly transforms into her younger self while traveling back in time on a mission to avert global disaster.
The Bubble,2022,Sneaking out. Hooking up. Melting down. The cast and crew of a blockbuster action franchise attempt to shoot a sequel while quarantining at a posh hotel.
Battle: Freestyle,2022,"Amalie is elated when her and Mikael&#39;s dance crew is selected to compete in Paris, but becomes distracted when she reunites with her estranged mother."
Pedro el escamoso,2001,"An uneducated but charming man who can talk his way into and out of anything falls in love at first sight with a pretty exec, and becomes her chauffeur."
Wild Abandon,2022,"In the haze of a midlife crisis, an architect begins living a double life as a punk while members of his family lead their own crisis-ridden lives."
Trust No One: The Hunt for the Crypto King,2022,"When the young founder of a collapsing cryptocurrency exchange dies unexpectedly, irate investors suspect there&#39;s more to his death than meets the eye."
All Hail,2022,"After failing to predict a destructive hailstorm, a famous meteorologist flees to his hometown and soon finds himself on a journey of self-discovery."
Thermae Romae Novae,2022,"A proud bath architect in ancient Rome starts randomly surfacing in present-day Japan, where he&#39;s inspired by the many bathing innovations he finds."
Transformers: BotBots,2022,"When the lights go out at the mall, the BotBots come out to play! Meet a fun-loving crew of everyday objects that morph into robots at closing time."
Love Like the Falling Petals,2022,An aspiring young photographer falls in love with a vibrant hairstylist. The future stretches before them — until a twist of fate changes everything.
800 Meters,2022,"In 2017, Spain suffered two terrorist attacks perpetrated by young members of its community. How could this happen? This incisive series investigates."
In Good Hands,2022,"Diagnosed with a terminal illness, a single mother encounters a suave bachelor as she grapples with the future of her headstrong six-year-old."
Windfall,2022,"A man breaks into a tech billionaire&#39;s empty vacation home, but things go sideways when the arrogant mogul and his wife arrive for a last-minute getaway."
Standing Up,2022,From juggling jobs to chasing viral fame: Making it in stand-up can be a messy business. But these four friends will risk it all to make the world laugh.
Human Resources,2022,"Lovebugs, Hormone Monsters and a parade of other creatures juggle romance, workplace drama and their human clients&#39; needs in this ""Big Mouth"" spinoff."
Cracow Monsters,2022,A young woman haunted by her past joins a mysterious professor and his group of gifted students who investigate paranormal activity — and fight demons.
Black Crab,2022,"To end an apocalyptic war and save her daughter, a reluctant soldier embarks on a desperate mission to cross a frozen sea carrying a top-secret cargo."
Soil,2021,"To revamp the family business, a young entrepreneur sets up a bold yet risky plan of importing soil from Morocco to bury his community’s deceased."
Rescued by Ruby,2022,"Chasing his dream to join an elite K-9 unit, a state trooper partners with a fellow underdog: clever but naughty shelter pup Ruby. Based on a true story."
Today We Fix the World,2022,"After workaholic Diego learns that he might not be the father of young Benito, the duo sets out on an emotional quest to find the boy&#39;s biological dad."
Solas,1999,"As her husband recuperates, a woman stays with her daughter, Maria, who left home years ago because of the way her father treated her mother."
The Method,2005,An unusual interview process for an executive job pits candidates against each other in a psychological battle in which no weapon is too manipulative.
The Adam Project,2022,"After accidentally crash-landing in 2022, time-traveling fighter pilot Adam Reed teams up with his 12-year-old self on a mission to save the future."
Taboo,2017,"Long thought to be dead, an adventurer returns to London to avenge his father&#39;s death — and finds himself up against the powerful East India Company."
"Love, Life & Everything in Between",2022,This pan-Arab anthology series tinged with dark humor explores love at large — and relationships up close.
Kotaro Lives Alone,2022,A lonely little boy moves into a ramshackle apartment building all on his own and makes friends with the broke manga artist who lives next door.
Byron Baes,2022,"Australian influencers flock to Byron Bay for its warm, beachy beauty and cool, creative vibe. Follow these friends as they negotiate life and love."
The Bombardment,2022,The fates of several Copenhagen residents collide when a WWII bombing mission accidentally targets a school full of children. Based on true events.
Autumn Girl,2021,"In 1960s Poland, performer Kalina Jędrusik is at the height of her popularity but must contend with a spurned official threatening to ruin her career."
Lies and Deceit,2020,"A literature teacher seeks justice against a surgeon she claims date raped her, while he vehemently denies her accounts of the encounter."
PIECES OF HER,2022,A woman pieces together her mother&#39;s dark past after a violent attack in their small town brings hidden threats and deadly secrets to light.
Meskina,2021,"Heartbroken, jobless and in her 30s, Leyla sets out to reinvent herself and search for happiness amid her family&#39;s attempts to recouple her."
Making Fun,2022,Grumpy expert maker Jimmy DiResta fields kids&#39; ideas for delightfully pointless inventions. Then — if he&#39;s in the mood — he and his pals build &#39;em.
The Invisible Thread,2022,A teenage son of two fathers makes a documentary about his parents but is surprised when a real-life plot twist occurs in his family.
The Weekend Away,2021,"When her best friend vanishes during a girls trip to Croatia, Beth races to figure out what happened. But each clue yields another unsettling deception."
Midnight at the Pera Palace,2022,"At a historic Istanbul hotel, a journalist is thrust into the past and must stop a plot that could change the fate of modern Turkey."
The Pirates: The Last Royal Treasure,2022,"A gutsy crew of Joseon pirates and bandits battle stormy waters, puzzling clues and militant rivals in search of royal gold lost at sea."
Against The Ice,2022,"Exploring Greenland&#39;s vast landscape for a lost map, two men must fight to survive. Based on the true story of Denmark&#39;s 1909 polar expedition."
Worst Roommate Ever,2022,Violent con artists. Stone-cold killers. These terrifying true stories unveil some of the worst cohabitation experiences one could ever imagine.
The Guardians of Justice,2022,"When their seemingly fearless leader self-destructs, a team of troubled superheroes must confront festering evil in the world — and in themselves."
My Wonderful Life,2022,An unhappily married woman fights to keep her multigenerational family together as she tries to stop an anonymous blackmailer from exposing her secret.
Memories of My Melancholy Whores,2011,"In this film based on the Gabriel García Márquez novella, a 90-year-old journalist gifts to himself a night with a teen virgin but falls in love instead."
Valentina&#39;s Wedding,2018,Valentina&#39;s seemingly idyllic life in the US is interrupted when planning a wedding means introducing her fiancé to her scandalous family in Mexico.
Everything&#39;s Gone Wrong!,2018,"When a young diplomat manages to get the Austrian government to return the Plume of Moctezuma to Mexico for an exhibition, his life quickly falls apart."
Vikings: Valhalla,2022,"In this sequel to ""Vikings,"" a hundred years have passed and a new generation of legendary heroes arises to forge its own destiny — and make history."
Restless,2022,"After going to extremes to cover up an accident, a corrupt cop&#39;s life spirals out of control when he starts receiving threats from a mysterious witness."
A Madea Homecoming,2022,Madea&#39;s back — hallelujer! And she&#39;s not putting up with any nonsense as family drama erupts at her great-grandson&#39;s college graduation celebration.
Juvenile Justice,2022,A tough judge balances her aversion to minor offenders with firm beliefs on justice and punishment as she tackles complex cases inside a juvenile court.
The Fame Game,2022,"When India’s most famous actress goes missing, the search for her chips away at the flawless facade of her life and family, revealing painful truths."
Back to 15,2022,"Unhappy with her life, 30-year-old Anita accidentally discovers a way to travel back to age 15. Can she rewrite her own history?"
Karma&#39;s World Music Videos,2022,Step into Karma&#39;s musical world as she rocks the mic — and her curls — for this fun and funky playlist packed with rhymes and the power of positivity!
UFO,2022,"When aspiring musician and student Deniz falls for a rough-hewn motorbike racer, tragedy and family opposition obstruct their path to love."
Race: Bubba Wallace,2022,"This docuseries follows Bubba Wallace, the only Black driver currently in NASCAR&#39;s Cup Series, as he uses his voice and talent to change the sport."
Cat Burglar,2022,"In this edgy, over-the-top, interactive trivia toon, answer correctly to help Rowdy the Cat evade Peanut the Security Pup to steal some prized paintings."
Don&#39;t Kill Me,2022,"After Mirta dies of a drug overdose with her lover, she resuscitates alone and discovers she&#39;s part of a violent world she never knew existed."
Thoroughbred,2016,Five thieves get away with $30 million that is too hot to handle and agree to let the money cool for five years. Then one makes a terrible mistake.
Compadres,2016,"After his girlfriend is kidnapped by a vengeful villain whose big score was ruined, a Mexican lawman teams up with an orphaned American teen hacker."
3 idiotas,2017,"Five years after graduating from engineering school, three wild pals learn that a friend who vanished on graduation eve is alive. But what&#39;s he up to?"
Parallel Mothers,2021,Two single mothers bond when they meet in a hospital room and give birth the same day. Their subsequent connection transforms both of their lives.
One of Us Is Lying,2022,"Detention brings together five disparate high schoolers, but a killing — and secrets — keep them together as a cat-and-mouse murder mystery unfolds."
Texas Chainsaw Massacre,2022,"In this sequel, influencers looking to breathe new life into a Texas ghost town encounter Leatherface, an infamous killer who wears a mask of human skin."
Downfall: The Case Against Boeing,2022,Investigators reveal how Boeing’s alleged priority of profit over safety could have contributed to two catastrophic crashes within months of each other.
The Cuphead Show!,2022,Follow the misadventures of the impulsive Cuphead and his easily swayed brother Mugman in this animated series based on the hit video game.
Heart Shot,2022,"In this short film, teenagers Nikki and Sam are in love and planning their future together — until Nikki&#39;s dangerous past returns to threaten everything."
Forgive Us Our Trespasses,2022,"Targeted by Nazis as they hunt down and murder people with disabilities, a boy with a limb difference makes a daring decision while running for his life."
Fistful of Vengeance,2022,A revenge mission becomes a fight to save the world from an ancient threat when superpowered assassin Kai tracks a killer to Bangkok.
Thirty-Nine,2022,"Leaning on each other through thick and thin, a trio of best friends stand together as they experience life, love and loss on the brink of turning 40."
Secrets of Summer,2022,"A remote Argentine resort revives its wakeboarding competition, drawing in Mexican athlete Steffi, who is determined to uncover a family secret."
jeen-yuhs: A Kanye Trilogy,2022,"The lives of an emerging superstar and a filmmaker intertwine in this intense, intimate docuseries charting Kanye West&#39;s career, filmed over two decades."
AI Love You,2022,"After a software glitch causes an advanced AI program to fall in love with a young woman, it escapes into the body of a man and tries to win her heart."
The Vanishing,2018,"On an island off the coast of Scotland, a trio of lighthouse keepers vanish without a trace. Inspired by the true story of the Flannan Isle Mystery."
Fishbowl Wives,2022,"In a luxury apartment tower, six different women in unhappy marriages end up crossing the line into infidelity. Based on the manga series by Kurosawa R."
Tall Girl 2,2022,"Landing the lead in the school musical is a dream come true for Jodi, until the pressure sends her confidence — and her relationship — into a tailspin."
Love Tactics,2022,"An ad executive and a fashion designer-blogger don&#39;t believe in love, so they place a bet to make the other fall head over heels — with unusual tactics."
Love and Leashes,2022,"Love never hurt so good for two co-workers who enter a contractual relationship as partners in consensual play, pleasure and pain."
Inventing Anna,2022,"Audacious entrepreneur or con artist? A journalist chases down the story of Anna Delvey, who convinced New York&#39;s elite she was a German heiress."
Into the Wind,2022,"Waves, sunshine and passion await when a privileged teenage girl experiences first love with a free-spirited kitesurfing instructor at a seaside resort."
Things I Never Told You,1996,"Unexpectedly dumped, Ann rants about her angst to suicide hotline volunteer Don, who later recognizes her in a store and finds himself drawn to her."
Parallel Roads,2016,"When a young boy needs a kidney donation, his parents discover he was switched at birth. The consequences reverberate across two heartbroken families."
The Privilege,2022,A wealthy teen and his friends attending an elite private school uncover a dark conspiracy while looking into a series of strange supernatural events.
The Best Summer of My Life,2018,"To keep his promise of taking his son on a memorable holiday, a broke salesman uses his unwavering positivity to improvise a magical adventure."
Through My Window,2022,"Raquel&#39;s longtime crush on her next-door neighbor turns into something more when he starts developing feelings for her, despite his family&#39;s objections."
Looop Lapeta,2022,"When her boyfriend loses a mobster&#39;s cash, Savi races against the clock to save the day — if only she can break out of a curious cycle of dead ends."
Murderville,2022,Eccentric detective Terry Seattle teams up with clueless celebrity guest stars to investigate a series of murders in this improvisational crime comedy.
Finding Ola,2022,"After a life-altering event, Ola embarks on a journey of self-discovery while dealing with the challenges of raising two children and making ends meet."
The Woman in the House Across the Street from the Girl in the Window,2022,"Mixing wine, pills, casseroles and an overactive imagination, Anna obsesses over a hunky neighbor across the street and witnesses a murder. Or did she?"
The Orbital Children,2022,"In 2045, two children born on the moon and three kids from Earth try to survive after an accident on their space station leaves them stranded."
In From the Cold,2022,"Exposed as an ex-Russian spy, an American single mom must juggle family life and unique shape-shifting skills in a battle against an insidious enemy."
Home Team,2022,Suspended NFL coach Sean Payton hopes to reconnect with his son by coaching his hapless youth football team in this family comedy based on a true story.
Getting Curious with Jonathan Van Ness,2022,Jonathan Van Ness lets curiosity lead the way while roving from snacks to wigs in this podcast spinoff chock-full of experts and special guests.
Feria: The Darkest Light,2022,Two sisters must face a new reality — and supernatural elements — when it&#39;s revealed their parents participated in a cult ritual ending in death.
All of Us Are Dead,2022,A high school becomes ground zero for a zombie virus outbreak. Trapped students must fight their way out — or turn into one of the rabid infected.
Angry Birds: Summer Madness,2022,"Teen birds Red, Chuck, Bomb and Stella are crashing through Camp Splinterwood with their fellow feathered campers for a summer of high-flying hijinks!"
Marilyn&#39;s Eyes,2022,"Food brings together a creative pair at a psychiatric hospital. As they turn a fictional restaurant into reality, they must find a recipe for healing."
I Am Georgina,2022,"Join Georgina Rodríguez — mom, influencer, businesswoman and Cristiano Ronaldo&#39;s partner — in this emotional and in-depth portrait of her daily life."
Chosen,2022,A 17-year-old girl finds her world turned upside down when she and her friends discover the disturbing truth lurking in their quiet Danish town.
The Grown-Ups,2016,"At a work-study school for those with Down Syndrome, students in their 40s dream of independence and marriage despite low pay and their families&#39; wishes."
The Gallows Act II,2019,"In this sequel, an aspiring actor performs a monologue from a cursed stage play for her online fanbase, summoning the wrath of a malevolent spirit."
Neymar: The Perfect Chaos,2022,"Beloved worldwide but also a lightning rod for criticism, Neymar shares the highs and lows of his personal life and brilliant football career."
A Perfect Enemy,2020,"On his way to catch a flight out of Paris, an architect meets a woman who insists on telling her story — and the encounter soon takes a sinister turn."
Three Songs for Benazir,2022,"Newly married and living in a displacement camp, an Afghan man struggles to balance his dream of joining the national army with family responsibilities."
That Girl Lay Lay,2021,Quirky student Sadie is juggling high school while keeping a huge secret: Her hype-girl avatar has come to life in the form of fierce friend Lay Lay!
Summer Heat,2022,"A group of young adults working at a paradisiac resort live an unforgettable summer as they discover love, true friendships and devastating secrets."
My Father&#39;s Violin,2022,"Through their shared grief and connection to music, an orphaned girl bonds with her emotionally aloof, successful violinist uncle."
The Royal Treatment,2022,"New York hairdresser Izzy seizes the chance to work at the wedding of a charming prince, but when sparks between them fly, will love — or duty — prevail?"
The Puppet Master: Hunting the Ultimate Conman,2022,"In this harrowing docuseries, a cruel conman masquerading as a British spy manipulates and steals from his victims, leaving ruined families in his wake."
Mighty Express: Train Trouble,2022,A sneaky duo has tricked the trains and taken over Mission Station! Can Flicker flex his skills on the tracks to rescue his friends and save the day?
This Is Not a Comedy,2022,"A comedian finds new meaning in his life when his best friend asks him to be her sperm donor, and he meets a girl who connects with the cosmos."
Riverdance: The Animated Adventure,2022,"After a heartfelt loss, Irish-born Keegan and his Spanish-born friend Moya learn to dance through danger and despair with a magical herd of spirit deer."
The House,2022,"Across different eras, a poor family, an anxious developer and a fed-up landlady become tied to the same mysterious house in this animated dark comedy."
Archive 81,2022,An archivist takes a job restoring damaged videotapes and gets pulled into the vortex of a mystery involving the missing director and a demonic cult.
The Days to Come,2019,"A young couple in Barcelona, after dating for only a year, discover they&#39;re pregnant. Together, they ride the rollercoaster of preparing for a new life."
Photocopier,2022,"When photos of her at a party cause her to lose a scholarship, a student investigates whether something devastating happened to her that night."
The Journalist,2022,A dedicated journalist doggedly pursues the truth about a government corruption scandal even as powerful enemies seek to neutralize her reporting.
Brazen,2022,Mystery writer Grace Miller has killer instincts when it comes to motive — and she&#39;ll need every bit of expertise to help solve her sister&#39;s murder.
Mother/Android,2022,"In a post-apocalyptic world rocked by a violent android uprising, a young pregnant woman and her boyfriend desperately search for safety."
Hype House,2022,"Get an inside look at social media’s most talked-about stars as they navigate love, fame and friendship while creating content and living together."
The Wasteland,2022,A 19th-century family living in seclusion is visited by an evil being that feeds on fear. Can little Diego save his mother from the beast — and herself?
Rebelde,2022,"As Elite Way School starts a new term, a familiar enemy — a secret society called the Lodge — threatens to crash the musical hopes of the first-years."
Action Pack,2022,"With hearts, smarts and superpowers, the heroic kids of the Action Academy work together to battle the baddies — and even bring out the good in them!"
Stay Close,2021,"When Carlton Flynn vanishes 17 years to the night after Stewart Green did, it sets off a chain reaction in the lives of people connected to both men."
Seal Team,2021,Fearless seal Quinn assembles a squad of misfit recruits to stand up to ruthless sharks with razor-sharp teeth and reclaim the open sea.
The Lost Daughter,2021,A woman&#39;s quiet seaside vacation takes an unsettling turn when her fixation on a young mother staying at a nearby villa awakens memories from her past.
Kitz,2021,"Seeking revenge on the girl she blames for her brother&#39;s death, a Kitzbühel waitress infiltrates the glitzy world of a group of wealthy Munich teens."
Anxious People,2021,"A bank robber holds the visitors of an open house hostage and then promptly vanishes, leaving the police baffled — and suspicious of everyone."
Lulli,2021,A brilliant but self-centered medical student seems incapable of listening to others — until an accident gives her the ability to hear people&#39;s thoughts.
Stories of a Generation - with Pope Francis,2021,"In candid and heartwarming stories, inspiring women and men over 70 share poignant life lessons and pivotal choices from their remarkable journeys."
The Silent Sea,2021,"During a perilous 24-hour mission on the moon, space explorers try to retrieve samples from an abandoned research facility steeped in classified secrets."
Minnal Murali,2021,"A tailor gains special powers after being struck by lightning, but must take down an unexpected foe if he is to become the superhero his hometown needs."
Don&#39;t Look Up,2021,Two astronomers go on a media tour to warn humankind of a planet-killing comet hurtling toward Earth. The response from a distracted world: Meh.
Grumpy Christmas,2021,"A family trip to the beach turns crazy when Servando and Alicia, Alma&#39;s willful aunt, start an over-the-top competition to control Christmas."
Thomas & Friends: Race for the Sodor Cup,2021,"To win the Sodor Cup, it&#39;ll take more than speed. Swift engines Kana and Thomas must use their smarts and work together to cross the finish line first!"
Puff: Wonders of the Reef,2021,A baby pufferfish travels through a wondrous microworld full of fantastical creatures as he searches for a home on the Great Barrier Reef.
A Naija Christmas,2021,A mother&#39;s Christmas wish — and the grand prize that comes with it — sets off a fierce competition between her sons.
A California Christmas: City Lights,2021,"A year after their romance took root, Callie and Joseph are leaving the ranch for family business in San Francisco — with wedding bells on the horizon."
The Hand of God,2021,"In 1980s Naples, young Fabietto pursues his love for football as family tragedy strikes, shaping his uncertain but promising future as a filmmaker."
Twentysomethings: Austin,2021,"In this coming-of-age reality series set in Austin, Texas, 20-somethings navigate love and friendship and start a new adventure: life."
Two,2021,"Two strangers awaken to discover their abdomens have been sewn together, and are further shocked when they learn who&#39;s behind their horrifying ordeal."
The Unforgivable,2021,"Released from prison into a society that won&#39;t forgive her, a woman convicted of murder searches for the little sister she was forced to leave behind."
Saturday Morning All Star Hits!,2021,"Wildly irreverent and slightly disturbing, this adult animation, live-action hybrid celebrates the campy, Saturday-morning shows of the &#39;80s and &#39;90s."
Back to the Outback,2021,"They might look dangerous, but these wildly misunderstood creatures have hearts of gold — and they’re breaking out of captivity on a quest to find home."
Anonymously Yours,2021,"After an accidental text message turns into a digital friendship, Vale and Alex start crushing on each other without realizing they&#39;ve met in real life."
Aranyak,2021,"Political ploys, personal agendas and a beastly myth all surface as two mismatched hill station cops navigate a web of suspects after a puzzling murder."
Blue Lips,2016,"The lives of six people from disparate cities converge at the San Fermin Festival in Pamplona,as each struggles to overcome a personal crisis."
Asakusa Kid,2021,"Before he hit it big, Takeshi Kitano got his start apprenticing with comedy legend Fukami of Asakusa. But as his star rises, his mentor&#39;s declines."
200 Meters,2020,"The separation wall sits between him and his family. Denied entry on a technicality, a Palestinian will stop at nothing to reach his injured son."
Redemption Day,2021,"When an archaeologist is kidnapped and held for ransom in Morocco, her war hero husband must face his demons to rescue her from shadowy forces."
Our Beloved Summer,2021,"Years after filming a viral documentary in high school, two bickering ex-lovers get pulled back in front of the camera — and into each other&#39;s lives."
Marea alta,2020,"Laura, a woman of privilege, sleeps with the contractor who&#39;s building a stone grill for her. Tensions grow when he vanishes and the crew turns unruly."
Mixtape,2021,"In 1999, 12-year-old Beverly discovers a broken mixtape made by her late parents. She sets out to find the songs — and learn more about her mom and dad."
Coming Out Colton,2021,"Former NFL player and ""Bachelor"" star Colton Underwood embarks on a journey to embrace his new life as an out member of the LGBTQ community."
Enforcement,2020,"While on routine patrol, two officers wind up trapped in the concrete jungle of a housing estate amid a riot triggered by police violence."
Sooryavanshi,2021,"A fearless, faithful (and only slightly forgetful) Mumbai cop pulls out all the stops — and stunts — to thwart a major conspiracy to attack his city."
The Whole Truth,2021,"When two siblings stumble on a strange hole in the wall of their grandparents’ house, horrifying incidents reveal sinister secrets about their family."
Single All The Way,2021,"Peter asks his best friend to pose as his boyfriend on a Christmas visit home, but their plan — and feelings — change when his family plays matchmaker."
The Coyotes,2021,"A close group of summer campers finds diamonds in the woods, setting off a wild ordeal that tests their friendship — and puts their lives in danger."
Escalona,1991,"The improbable real life of Rafael Escalona, who had no music education and became Colombia&#39;s king of vallenato music, chronicling everyday life."
The Power of the Dog,2021,A domineering but charismatic rancher wages a war of intimidation on his brother&#39;s new wife and her teen son — until long-hidden secrets come to light.
Green Snake,2021,"While trying to free her sister from Fahai&#39;s clutches, Xiao Qing winds up in a dystopian city and meets a mysterious man who can&#39;t recall his past life."
Senninha na Pista Maluca,2018,Senninha and his friends discover a world of fantasy and fun as they compete on a track that changes all the time. Buckle up for some wacky races!
The Summit of the Gods,2021,A photojournalist’s obsessive quest for the truth about the first expedition to Mt. Everest leads him to search for an esteemed climber who went missing.
More the Merrier,2021,Five interspersed stories provide a fun romp through a night of sex and possibilities in which nothing goes as planned but everyone gets what they need.
Lead Me Home,2021,Poignant stories of homelessness on the West Coast of the US frame this cinematic portrait of a surging humanitarian crisis.
14 Peaks: Nothing Is Impossible,2021,"Fearless Nepali mountaineer Nimsdai Purja embarks on a seemingly impossible quest to summit all 14 of the world’s 8,000-meter peaks in seven months."
Elves,2021,A Christmas vacation turns into a nightmare for a teenager and her family when they discover an ancient menace that stalks their island getaway.
Spoiled Brats,0,Three spoiled siblings are forced to earn their livings after their wealthy and well-meaning father pretends he&#39;s lost everything to teach them a lesson.
School of Chocolate,2021,Eight pros study the art of chocolate under the tutelage of a famed chocolatier. But only one will be best in class and win the chance of a lifetime.
Light the Night,2021,"In the red light district of 1980s Taipei, women at a popular Japanese night club navigate jealousy, heartbreak, friendship and love."
A Castle For Christmas,2021,"To escape a scandal, a bestselling author journeys to Scotland, where she falls in love with a castle — and faces off with the grumpy duke who owns it."
Super Crooks,2021,Johnny Bolt recruits a group of ragtag supervillains for one last heist. Their target: A ruthless super-powered crime boss. What can go wrong?
A Boy Called Christmas,2021,Determined young Nikolas meets his destiny in a magical land inhabited by elves on a quest to find his father — and bring home the gift of hope.
True Story,2021,A world-famous comedian desperately searches for a way out after a night in Philadelphia with his brother threatens to sabotage more than his success.
Robin Robin,2021,An optimistic young robin raised by a family of mice makes a heartfelt wish on a Christmas star. Will she finally learn who she is — and how to fly?
Bruised,2021,"Years after a humiliating defeat, an MMA fighter grabs one last shot at redemption when the young son she left behind comes back into her life."
Waffles + Mochi&#39;s Holiday Feast,2021,"On the first-ever Freezie Day, Waffles and Mochi learn that holiday traditions aren&#39;t just about food. They&#39;re about making memories with those you love!"
Reasonable Doubt: A Tale of Two Kidnappings,2021,A fender bender that turned into a kidnapping case leads documentalist Roberto Hernández to expose the truth behind Mexico&#39;s flawed justice system.
Outlaws,2021,"What started as a crush leads a bullied teenager to a new group of friends and a summer of burglaries, heists, love and more in 1978 Girona."
Extinct,2021,"Two cute, fuzzy creatures accidentally time-travel to the future... where they&#39;re extinct! Can this doughnut-shaped duo save their species?"
"tick, tick...BOOM!",2021,"On the brink of turning 30, a promising theater composer navigates love, friendship and the pressure to create something great before time runs out."
Procession,2021,Six men who were sexually abused by Catholic clergy as boys become a makeshift family and find empowerment by creating films inspired by their trauma.
Dhamaka,2021,"When a cynical ex-TV news anchor gets an alarming call on his radio show, he sees a chance for a career comeback — but it may cost him his conscience."
Cowboy Bebop,2021,"Long on style and perpetually short on cash, bounty hunters Spike, Jet and Faye trawl the solar system looking for jobs. But can they outrun Spike&#39;s past?"
Blown Away: Christmas,2021,&#39;Tis the season for five returning artists to fill the hot shop with festive designs. One will win cash for the stocking — a merry Christmas indeed!
Hellbound,2021,"Unearthly beings deliver bloody condemnations, sending individuals to hell and giving rise to a religious group founded on the idea of divine justice."
Dogs in Space,2021,"Fetch — a new planet for us all! With Earth in danger, desperate scientists send genetically enhanced dogs into space to find a new world to call home."
